iter	MultiClass
0	1.712383635
1	1.543516297
2	1.412179463
3	1.305296376
4	1.21572071
5	1.139425144
6	1.073096928
7	1.015033767
8	0.9632873075
9	0.9172134155
10	0.8760403206
11	0.838587448
12	0.8049192254
13	0.7739106096
14	0.7459094438
15	0.7197734701
16	0.6957026656
17	0.6739227329
18	0.6498560105
19	0.6284925818
20	0.6086025444
21	0.589982149
22	0.5730341419
23	0.5574501875
24	0.5427656868
25	0.5294267733
26	0.516692004
27	0.5044493815
28	0.4931334849
29	0.4824597422
30	0.4727263887
31	0.4636083798
32	0.4551395371
33	0.4472300865
34	0.4396228971
35	0.4326734067
36	0.4264301039
37	0.4196962987
38	0.4139500018
39	0.4087173974
40	0.4036642027
41	0.3990021838
42	0.3938791928
43	0.3897054057
44	0.3855369229
45	0.3818872112
46	0.3774243709
47	0.3741675919
48	0.3711260358
49	0.368178041
50	0.3651541402
51	0.3623241214
52	0.35964
53	0.3572276876
54	0.3549736232
55	0.3527885833
56	0.3508363122
57	0.3484119285
58	0.3466761034
59	0.3448311919
60	0.3430591765
61	0.3415207703
62	0.3396719239
63	0.3382543173
64	0.3368313167
65	0.3355295292
66	0.3341885447
67	0.3331607888
68	0.3320268647
69	0.3306413316
70	0.3295619486
71	0.3286596608
72	0.3279078466
73	0.327139192
74	0.3256923879
75	0.324140952
76	0.3231970759
77	0.3221201293
78	0.32104332
79	0.3204230998
80	0.3199210533
81	0.3193292734
82	0.3188454065
83	0.3185501434
84	0.3183202144
85	0.3179438886
86	0.3175512727
87	0.3170452705
88	0.3163228743
89	0.3156847122
90	0.3152936039
91	0.3149509009
92	0.3146184367
93	0.3142728554
94	0.3140918763
95	0.3138247775
96	0.3134499679
97	0.3130536856
98	0.3127543815
99	0.3123997375
100	0.3122161286
101	0.3116788395
102	0.3115397006
103	0.311158741
104	0.3106480625
105	0.3101953459
106	0.3098678576
107	0.3096125393
108	0.3093143858
109	0.3088030749
110	0.308733211
111	0.3083368042
112	0.3082316617
113	0.3080892258
114	0.3078684495
115	0.3075983422
116	0.3074616831
117	0.3073712877
118	0.3073636872
119	0.3069837557
120	0.3067687966
121	0.3066988398
122	0.3065020176
123	0.3064635181
124	0.3062642249
125	0.3058940531
126	0.3057055632
127	0.3055269142
128	0.3054825704
129	0.3053351117
130	0.3050677688
131	0.3048695812
132	0.3046928345
133	0.3045588218
134	0.3042675209
135	0.3039627661
136	0.303900108
137	0.303832332
138	0.3038316732
139	0.3037779496
140	0.3036388447
141	0.303486379
142	0.3031304514
143	0.3030938575
144	0.3028121937
145	0.3026619284
146	0.3025970625
147	0.3023391868
148	0.3021874117
149	0.3021322402
150	0.3018328662
151	0.301701322
152	0.3016078115
153	0.3015705517
154	0.3015135039
155	0.3013613201
156	0.3012329567
157	0.3009026322
158	0.300852465
159	0.3007274086
160	0.300407355
161	0.3000748088
162	0.3000495398
163	0.2999615983
164	0.2998604268
165	0.299783914
166	0.2997643611
167	0.299693694
168	0.2994827348
169	0.2992791509
170	0.2991135214
171	0.2990047205
172	0.2988574219
173	0.2987335499
174	0.2985222481
175	0.2983190289
176	0.2981742867
177	0.2981370991
178	0.2981295732
179	0.2979360068
180	0.297790641
181	0.2976045232
182	0.2975215238
183	0.2974153128
184	0.2972393939
185	0.2969935398
186	0.2969272549
187	0.296905778
188	0.2964882628
189	0.2963789932
190	0.2962431721
191	0.2959607202
192	0.2957827608
193	0.2954016061
194	0.2953373275
195	0.2952592848
196	0.2950910242
197	0.2948909042
198	0.2948018037
199	0.2947442326
200	0.2946733459
201	0.2944862733
202	0.2943144548
203	0.2940753972
204	0.2940575392
205	0.2938641512
206	0.2937423327
207	0.2935985977
208	0.2935402437
209	0.293512055
210	0.2934734396
211	0.2932914231
212	0.2931772223
213	0.2929065285
214	0.2928592204
215	0.2926531101
216	0.2925957743
217	0.2924285747
218	0.2922046915
219	0.2920468875
220	0.2919436895
221	0.2917369362
222	0.2916779134
223	0.2916456575
224	0.2914897737
225	0.2914443038
226	0.291158217
227	0.2909886445
228	0.2908203718
229	0.2908088714
230	0.2905861501
231	0.2904855792
232	0.2902807158
233	0.2900993902
234	0.2898386968
235	0.2897864626
236	0.289579913
237	0.2895505182
238	0.2894195188
239	0.2893455753
240	0.2893112996
241	0.289249173
242	0.2890447888
243	0.2888420358
244	0.2887223704
245	0.2886211718
246	0.2884906678
247	0.2881421861
248	0.2880125389
249	0.2878738951
250	0.2878461964
251	0.2877546854
252	0.2877063221
253	0.287521129
254	0.2874174818
255	0.2873159409
256	0.2872137871
257	0.2870656121
258	0.2868728557
259	0.2868251736
260	0.2867338124
261	0.2865369368
262	0.2864328209
263	0.2863884807
264	0.2862897647
265	0.2861516948
266	0.2859970705
267	0.2858132981
268	0.2856852611
269	0.2855604581
270	0.2854102743
271	0.285283496
272	0.2852552925
273	0.2849528003
274	0.2849050689
275	0.2847930693
276	0.2845998282
277	0.2844128557
278	0.2843152673
279	0.2842310622
280	0.2840979295
281	0.2839956402
282	0.2838090595
283	0.2835644523
284	0.2832688457
285	0.2831279987
286	0.2829566547
287	0.2828230764
288	0.2825589871
289	0.2824252723
290	0.2822465378
291	0.2821357485
292	0.2820229136
293	0.2819920258
294	0.2819585806
295	0.2818843003
296	0.2817758252
297	0.2815857444
298	0.2813565384
299	0.2812171005
